,frameNo,position,SEQ,No,filepPath,x,y
0,8,0,0,1,./data/8.jpg,813,270
15,9,0,0,1,./data/9.jpg,813,273
30,10,0,0,1,./data/10.jpg,817,277
45,11,0,0,1,./data/11.jpg,820,280
60,12,0,0,1,./data/12.jpg,817,284
75,13,0,0,1,./data/13.jpg,813,284
90,14,0,0,1,./data/14.jpg,810,287
105,15,0,0,1,./data/15.jpg,807,287
120,16,0,0,1,./data/16.jpg,803,287
135,17,0,0,1,./data/17.jpg,803,284
150,18,0,0,1,./data/18.jpg,800,284
165,19,0,0,1,./data/19.jpg,797,284
180,20,0,0,1,./data/20.jpg,790,280
195,21,0,0,1,./data/21.jpg,787,280
210,22,0,0,1,./data/22.jpg,783,280
225,23,0,0,1,./data/23.jpg,780,280
240,24,0,0,1,./data/24.jpg,780,280
255,25,0,0,1,./data/25.jpg,780,280
270,26,0,0,1,./data/26.jpg,777,284
285,27,0,0,1,./data/27.jpg,777,287
300,28,0,0,1,./data/28.jpg,770,290
315,29,0,0,1,./data/29.jpg,767,294
330,30,0,0,1,./data/30.jpg,767,304
345,31,0,0,1,./data/31.jpg,763,310
360,32,0,0,1,./data/32.jpg,763,314
375,33,0,0,1,./data/33.jpg,763,324
390,34,0,0,1,./data/34.jpg,763,327
405,35,0,0,1,./data/35.jpg,763,334
420,36,0,0,1,./data/36.jpg,773,334
435,37,0,0,1,./data/37.jpg,780,338
450,38,0,0,1,./data/38.jpg,790,341
465,39,0,0,1,./data/39.jpg,803,341
480,40,0,0,1,./data/40.jpg,820,341
495,41,0,0,1,./data/41.jpg,837,338
510,42,0,0,1,./data/42.jpg,860,338
525,43,0,0,1,./data/43.jpg,887,334
540,44,0,0,1,./data/44.jpg,923,327
555,45,0,0,1,./data/45.jpg,953,314
570,46,0,0,1,./data/46.jpg,993,310
585,47,0,0,1,./data/47.jpg,1037,310
600,48,0,0,1,./data/48.jpg,1070,314
615,49,0,0,1,./data/49.jpg,1110,317
630,50,0,0,1,./data/50.jpg,1143,327
645,51,0,0,1,./data/51.jpg,1177,327
660,52,0,0,1,./data/52.jpg,1207,341
675,53,0,0,1,./data/53.jpg,1240,358
690,54,0,0,1,./data/54.jpg,1267,364
705,55,0,0,1,./data/55.jpg,1287,375
720,56,0,0,1,./data/56.jpg,1307,381
735,57,0,0,1,./data/57.jpg,1330,381
750,58,0,0,1,./data/58.jpg,1350,385
765,59,0,0,1,./data/59.jpg,1370,398
780,60,0,0,1,./data/60.jpg,1387,408
795,61,0,0,1,./data/61.jpg,1397,412
1,8,2,2,1,./data/8.jpg,737,385
16,9,2,2,1,./data/9.jpg,733,385
31,10,2,2,1,./data/10.jpg,730,385
46,11,2,2,1,./data/11.jpg,727,385
61,12,2,2,1,./data/12.jpg,717,385
76,13,2,2,1,./data/13.jpg,713,381
91,14,2,2,1,./data/14.jpg,710,381
106,15,2,2,1,./data/15.jpg,707,381
121,16,2,2,1,./data/16.jpg,703,378
136,17,2,2,1,./data/17.jpg,693,375
151,18,2,2,1,./data/18.jpg,687,375
166,19,2,2,1,./data/19.jpg,687,371
181,20,2,2,1,./data/20.jpg,680,371
196,21,2,2,1,./data/21.jpg,677,375
211,22,2,2,1,./data/22.jpg,677,375
226,23,2,2,1,./data/23.jpg,670,375
241,24,2,2,1,./data/24.jpg,667,378
256,25,2,2,1,./data/25.jpg,667,381
271,26,2,2,1,./data/26.jpg,663,381
286,27,2,2,1,./data/27.jpg,663,385
301,28,2,2,1,./data/28.jpg,663,395
316,29,2,2,1,./data/29.jpg,663,405
331,30,2,2,1,./data/30.jpg,663,408
346,31,2,2,1,./data/31.jpg,663,422
361,32,2,2,1,./data/32.jpg,663,429
376,33,2,2,1,./data/33.jpg,663,435
391,34,2,2,1,./data/34.jpg,663,446
406,35,2,2,1,./data/35.jpg,667,452
421,36,2,2,1,./data/36.jpg,673,456
436,37,2,2,1,./data/37.jpg,683,462
451,38,2,2,1,./data/38.jpg,687,466
466,39,2,2,1,./data/39.jpg,700,466
481,40,2,2,1,./data/40.jpg,710,462
496,41,2,2,1,./data/41.jpg,730,462
511,42,2,2,1,./data/42.jpg,747,456
526,43,2,2,1,./data/43.jpg,773,449
541,44,2,2,1,./data/44.jpg,800,435
556,45,2,2,1,./data/45.jpg,830,429
571,46,2,2,1,./data/46.jpg,860,418
586,47,2,2,1,./data/47.jpg,900,408
601,48,2,2,1,./data/48.jpg,943,408
616,49,2,2,1,./data/49.jpg,990,405
631,50,2,2,1,./data/50.jpg,1043,408
646,51,2,2,1,./data/51.jpg,1093,435
661,52,2,2,1,./data/52.jpg,1160,408
676,53,2,2,1,./data/53.jpg,1197,415
691,54,2,2,1,./data/54.jpg,1230,418
706,55,2,2,1,./data/55.jpg,1257,435
721,56,2,2,1,./data/56.jpg,1283,456
736,57,2,2,1,./data/57.jpg,1303,476
751,58,2,2,1,./data/58.jpg,1323,486
766,59,2,2,1,./data/59.jpg,1330,500
781,60,2,2,1,./data/60.jpg,1340,496
796,61,2,2,1,./data/61.jpg,1350,493
2,8,3,3,1,./data/8.jpg,700,516
17,9,3,3,1,./data/9.jpg,690,513
32,10,3,3,1,./data/10.jpg,687,520
47,11,3,3,1,./data/11.jpg,683,520
62,12,3,3,1,./data/12.jpg,677,513
77,13,3,3,1,./data/13.jpg,667,510
92,14,3,3,1,./data/14.jpg,663,506
107,15,3,3,1,./data/15.jpg,657,503
122,16,3,3,1,./data/16.jpg,650,496
137,17,3,3,1,./data/17.jpg,640,496
152,18,3,3,1,./data/18.jpg,637,493
167,19,3,3,1,./data/19.jpg,633,489
182,20,3,3,1,./data/20.jpg,633,489
197,21,3,3,1,./data/21.jpg,637,479
212,22,3,3,1,./data/22.jpg,630,466
227,23,3,3,1,./data/23.jpg,630,459
242,24,3,3,1,./data/24.jpg,620,472
257,25,3,3,1,./data/25.jpg,623,472
272,26,3,3,1,./data/26.jpg,630,476
287,27,3,3,1,./data/27.jpg,633,479
302,28,3,3,1,./data/28.jpg,637,489
317,29,3,3,1,./data/29.jpg,637,503
332,30,3,3,1,./data/30.jpg,640,513
347,31,3,3,1,./data/31.jpg,643,526
362,32,3,3,1,./data/32.jpg,647,543
377,33,3,3,1,./data/33.jpg,650,554
392,34,3,3,1,./data/34.jpg,653,570
407,35,3,3,1,./data/35.jpg,657,577
422,36,3,3,1,./data/36.jpg,660,587
437,37,3,3,1,./data/37.jpg,660,594
452,38,3,3,1,./data/38.jpg,663,594
467,39,3,3,1,./data/39.jpg,663,591
482,40,3,3,1,./data/40.jpg,670,580
497,41,3,3,1,./data/41.jpg,677,570
512,42,3,3,1,./data/42.jpg,683,554
527,43,3,3,1,./data/43.jpg,693,530
542,44,3,3,1,./data/44.jpg,713,503
557,45,3,3,1,./data/45.jpg,737,479
572,46,3,3,1,./data/46.jpg,760,462
587,47,3,3,1,./data/47.jpg,780,456
602,48,3,3,1,./data/48.jpg,823,432
617,49,3,3,1,./data/49.jpg,883,385
632,50,3,3,1,./data/50.jpg,997,324
647,51,3,3,1,./data/51.jpg,1020,567
662,52,3,3,1,./data/52.jpg,1253,304
677,53,3,3,1,./data/53.jpg,1323,321
692,54,3,3,1,./data/54.jpg,1370,385
707,55,3,3,1,./data/55.jpg,1397,472
722,56,3,3,1,./data/56.jpg,1393,547
737,57,3,3,1,./data/57.jpg,1353,601
752,58,3,3,1,./data/58.jpg,1307,624
767,59,3,3,1,./data/59.jpg,1273,621
782,60,3,3,1,./data/60.jpg,1270,580
797,61,3,3,1,./data/60.jpg,1270,580
3,8,4,4,1,./data/8.jpg,710,496
18,9,4,4,1,./data/9.jpg,707,493
33,10,4,4,1,./data/10.jpg,697,489
48,11,4,4,1,./data/11.jpg,690,483
63,12,4,4,1,./data/12.jpg,687,483
78,13,4,4,1,./data/13.jpg,673,479
93,14,4,4,1,./data/14.jpg,667,476
108,15,4,4,1,./data/15.jpg,657,472
123,16,4,4,1,./data/16.jpg,643,469
138,17,4,4,1,./data/17.jpg,640,459
153,18,4,4,1,./data/18.jpg,633,462
168,19,4,4,1,./data/19.jpg,627,462
183,20,4,4,1,./data/20.jpg,623,472
198,21,4,4,1,./data/21.jpg,620,469
213,22,4,4,1,./data/21.jpg,620,469
228,23,4,4,1,./data/23.jpg,613,479
243,24,4,4,1,./data/24.jpg,610,500
258,25,4,4,1,./data/25.jpg,603,506
273,26,4,4,1,./data/26.jpg,610,526
288,27,4,4,1,./data/27.jpg,613,547
303,28,4,4,1,./data/28.jpg,613,570
318,29,4,4,1,./data/29.jpg,617,594
333,30,4,4,1,./data/30.jpg,620,614
348,31,4,4,1,./data/31.jpg,627,628
363,32,4,4,1,./data/32.jpg,633,648
378,33,4,4,1,./data/33.jpg,637,668
393,34,4,4,1,./data/34.jpg,640,682
408,35,4,4,1,./data/35.jpg,643,695
423,36,4,4,1,./data/36.jpg,643,702
438,37,4,4,1,./data/37.jpg,647,709
453,38,4,4,1,./data/38.jpg,647,702
468,39,4,4,1,./data/39.jpg,647,695
483,40,4,4,1,./data/40.jpg,647,692
498,41,4,4,1,./data/41.jpg,657,675
513,42,4,4,1,./data/42.jpg,660,658
528,43,4,4,1,./data/43.jpg,667,631
543,44,4,4,1,./data/44.jpg,683,594
558,45,4,4,1,./data/45.jpg,697,547
573,46,4,4,1,./data/46.jpg,730,483
588,47,4,4,1,./data/47.jpg,767,405
603,48,4,4,1,./data/48.jpg,823,348
618,49,4,4,1,./data/49.jpg,900,250
633,50,4,4,1,./data/50.jpg,993,196
648,51,4,4,1,./data/51.jpg,1137,196
663,52,4,4,1,./data/52.jpg,1280,172
678,53,4,4,1,./data/53.jpg,1423,246
693,54,4,4,1,./data/54.jpg,1473,361
708,55,4,4,1,./data/55.jpg,1503,496
723,56,4,4,1,./data/56.jpg,1470,601
738,57,4,4,1,./data/57.jpg,1393,682
753,58,4,4,1,./data/58.jpg,1303,722
768,59,4,4,1,./data/59.jpg,1223,692
783,60,4,4,1,./data/59.jpg,1223,692
798,61,4,4,1,./data/59.jpg,1223,692
4,8,5,5,1,./data/8.jpg,880,371
19,9,5,5,1,./data/9.jpg,877,371
34,10,5,5,1,./data/10.jpg,873,375
49,11,5,5,1,./data/11.jpg,867,375
64,12,5,5,1,./data/12.jpg,857,378
79,13,5,5,1,./data/13.jpg,850,371
94,14,5,5,1,./data/14.jpg,847,375
109,15,5,5,1,./data/15.jpg,837,371
124,16,5,5,1,./data/16.jpg,830,364
139,17,5,5,1,./data/17.jpg,827,364
154,18,5,5,1,./data/18.jpg,823,361
169,19,5,5,1,./data/19.jpg,817,361
184,20,5,5,1,./data/20.jpg,810,358
199,21,5,5,1,./data/21.jpg,807,358
214,22,5,4,1,./data/22.jpg,807,354
229,23,5,5,1,./data/23.jpg,803,354
244,24,5,5,1,./data/24.jpg,803,354
259,25,5,5,1,./data/25.jpg,800,354
274,26,5,5,1,./data/26.jpg,797,358
289,27,5,5,1,./data/27.jpg,793,358
304,28,5,5,1,./data/28.jpg,793,361
319,29,5,5,1,./data/29.jpg,790,364
334,30,5,5,1,./data/30.jpg,787,375
349,31,5,5,1,./data/31.jpg,793,381
364,32,5,5,1,./data/32.jpg,793,385
379,33,5,5,1,./data/33.jpg,800,395
394,34,5,5,1,./data/34.jpg,803,402
409,35,5,5,1,./data/35.jpg,803,405
424,36,5,5,1,./data/36.jpg,810,408
439,37,5,5,1,./data/37.jpg,820,412
454,38,5,5,1,./data/38.jpg,830,415
469,39,5,5,1,./data/39.jpg,847,412
484,40,5,5,1,./data/40.jpg,860,412
499,41,5,5,1,./data/41.jpg,877,412
514,42,5,5,1,./data/42.jpg,900,408
529,43,5,5,1,./data/43.jpg,920,405
544,44,5,5,1,./data/44.jpg,947,402
559,45,5,5,1,./data/45.jpg,977,398
574,46,5,5,1,./data/46.jpg,1003,402
589,47,5,5,1,./data/47.jpg,1040,408
604,48,5,5,1,./data/48.jpg,1063,429
619,49,5,5,1,./data/49.jpg,1090,442
634,50,5,5,1,./data/50.jpg,1110,449
649,51,5,5,1,./data/51.jpg,1107,422
664,52,5,5,1,./data/52.jpg,1087,452
679,53,5,5,1,./data/53.jpg,1093,456
694,54,5,5,1,./data/54.jpg,1113,456
709,55,5,5,1,./data/55.jpg,1117,449
724,56,5,5,1,./data/56.jpg,1140,435
739,57,5,5,1,./data/57.jpg,1160,432
754,58,5,5,1,./data/58.jpg,1183,422
769,59,5,5,1,./data/59.jpg,1203,412
784,60,5,4,1,./data/60.jpg,1227,408
799,61,5,3,1,./data/61.jpg,1240,405
5,8,6,6,1,./data/8.jpg,913,500
20,9,6,6,1,./data/9.jpg,907,496
35,10,6,6,1,./data/10.jpg,900,496
50,11,6,6,1,./data/11.jpg,893,493
65,12,6,6,1,./data/12.jpg,880,493
80,13,6,6,1,./data/13.jpg,873,493
95,14,6,6,1,./data/14.jpg,860,483
110,15,6,6,1,./data/15.jpg,850,483
125,16,6,6,1,./data/16.jpg,840,476
140,17,6,6,1,./data/17.jpg,830,476
155,18,6,6,1,./data/18.jpg,823,469
170,19,6,6,1,./data/19.jpg,817,462
185,20,6,6,1,./data/20.jpg,810,456
200,21,6,6,1,./data/21.jpg,807,452
215,22,6,5,1,./data/22.jpg,803,452
230,23,6,6,1,./data/23.jpg,800,449
245,24,6,6,1,./data/24.jpg,790,449
260,25,6,6,1,./data/25.jpg,787,449
275,26,6,6,1,./data/26.jpg,780,449
290,27,6,6,1,./data/27.jpg,780,452
305,28,6,6,1,./data/28.jpg,783,452
320,29,6,6,1,./data/29.jpg,783,452
335,30,6,6,1,./data/30.jpg,793,459
350,31,6,6,1,./data/31.jpg,803,466
365,32,6,6,1,./data/32.jpg,827,476
380,33,6,6,1,./data/33.jpg,843,472
395,34,6,6,1,./data/34.jpg,857,459
410,35,6,6,1,./data/35.jpg,877,456
425,36,6,6,1,./data/36.jpg,900,452
440,37,6,6,1,./data/37.jpg,920,435
455,38,6,6,1,./data/38.jpg,937,432
470,39,6,6,1,./data/39.jpg,960,425
485,40,6,6,1,./data/40.jpg,980,412
500,41,6,6,1,./data/41.jpg,1000,408
515,42,6,6,1,./data/42.jpg,1020,405
530,43,6,6,1,./data/43.jpg,1037,405
545,44,6,6,1,./data/44.jpg,1057,408
560,45,6,6,1,./data/45.jpg,1067,429
575,46,6,6,1,./data/46.jpg,1067,456
590,47,6,6,1,./data/47.jpg,1060,483
605,48,6,6,1,./data/48.jpg,1063,523
620,49,6,6,1,./data/49.jpg,1067,570
635,50,6,6,1,./data/50.jpg,1087,584
650,51,6,6,1,./data/51.jpg,1017,567
665,52,6,6,1,./data/52.jpg,1017,560
680,53,6,6,1,./data/53.jpg,1020,554
695,54,6,6,1,./data/54.jpg,1023,537
710,55,6,6,1,./data/55.jpg,1037,513
725,56,6,6,1,./data/56.jpg,1047,500
740,57,6,6,1,./data/57.jpg,1063,472
755,58,6,6,1,./data/58.jpg,1087,446
770,59,6,6,1,./data/59.jpg,1110,429
785,60,6,5,1,./data/60.jpg,1137,412
800,61,6,4,1,./data/61.jpg,1160,402
6,8,7,7,1,./data/8.jpg,843,472
21,9,7,7,1,./data/9.jpg,830,459
36,10,7,7,1,./data/10.jpg,823,459
51,11,7,7,1,./data/11.jpg,810,452
66,12,7,7,1,./data/12.jpg,803,446
81,13,7,7,1,./data/13.jpg,787,439
96,14,7,7,1,./data/14.jpg,780,435
111,15,7,7,1,./data/15.jpg,767,432
126,16,7,7,1,./data/16.jpg,757,425
141,17,7,7,1,./data/17.jpg,743,422
156,18,7,7,1,./data/18.jpg,733,418
171,19,7,7,1,./data/19.jpg,727,418
186,20,7,7,1,./data/20.jpg,717,425
201,21,7,7,1,./data/21.jpg,710,429
216,22,7,6,1,./data/22.jpg,703,435
231,23,7,7,1,./data/23.jpg,693,449
246,24,7,7,1,./data/24.jpg,690,462
261,25,7,7,1,./data/25.jpg,693,479
276,26,7,7,1,./data/26.jpg,703,503
291,27,7,7,1,./data/27.jpg,713,520
306,28,7,7,1,./data/28.jpg,730,530
321,29,7,7,1,./data/29.jpg,750,547
336,30,7,7,1,./data/30.jpg,780,550
351,31,7,7,1,./data/31.jpg,810,557
366,32,7,7,1,./data/32.jpg,847,570
381,33,7,7,1,./data/33.jpg,880,554
396,34,7,7,1,./data/34.jpg,920,533
411,35,7,7,1,./data/35.jpg,950,513
426,36,7,7,1,./data/36.jpg,983,489
441,37,7,7,1,./data/37.jpg,1020,476
456,38,7,7,1,./data/38.jpg,1047,452
471,39,7,7,1,./data/39.jpg,1080,435
486,40,7,7,1,./data/40.jpg,1100,425
501,41,7,7,1,./data/41.jpg,1117,412
516,42,7,7,1,./data/42.jpg,1137,412
531,43,7,7,1,./data/43.jpg,1150,422
546,44,7,7,1,./data/44.jpg,1157,435
561,45,7,7,1,./data/45.jpg,1150,459
576,46,7,7,1,./data/46.jpg,1143,496
591,47,7,7,1,./data/47.jpg,1130,533
606,48,7,7,1,./data/48.jpg,1117,567
621,49,7,7,1,./data/49.jpg,1110,594
636,50,7,7,1,./data/50.jpg,1127,601
651,51,7,7,1,./data/51.jpg,1090,601
666,52,7,7,1,./data/52.jpg,1070,601
681,53,7,7,1,./data/53.jpg,1080,594
696,54,7,7,1,./data/54.jpg,1083,601
711,55,7,7,1,./data/55.jpg,1087,594
726,56,7,7,1,./data/56.jpg,1090,591
741,57,7,7,1,./data/57.jpg,1083,557
756,58,7,7,1,./data/58.jpg,1090,530
771,59,7,7,1,./data/59.jpg,1100,506
786,60,7,6,1,./data/60.jpg,1113,493
801,61,7,5,1,./data/61.jpg,1130,472
7,8,8,8,1,./data/8.jpg,743,641
22,9,8,8,1,./data/9.jpg,740,641
